번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
45,노랑부리검둥오리사촌,Melanitta fusca,IOS,VU,0,,V2
46,검둥오리사촌,Melanitta stejnegeri,NBS,LC,0,"W,S","4,V2"
47,검둥오리,Melanitta americana,NBS,NT,0,W,4
48,바다꿩,Clangula hyemalis,NRO,VU,0,W,V1
49,꼬마오리,Bucephala albeola,IOS,LC,0,,V2
50,흰뺨오리,Bucephala clangula,NBM,LC,0,W,3
51,흰비오리,Mergellus albellus,LCS,LC,0,W,3
52,비오리,Mergus merganser,DES,LC,1,"W,R","2,5"
53,바다비오리,Mergus serrator,LCS,LC,0,"W,S","3,V2"
54,호사비오리,Mergus squamatus,GCS,EN,0,"W,P","4,4"
55,들꿩,Tetrastes bonasia,NAB,LC,1,R,1
56,꿩,Phasianus colchicus,NAB,LC,1,R,1
57,메추라기,Coturnix japonica,PCS,NT,1,"W,S","4,V2"
58,쏙독새,Caprimulgus jotaka,DES,LC,1,"P,S","3,3"
59,황해쇠칼새,Aerodramus brevirostris,IOS,LC,0,,V1
60,바늘꼬리칼새,Hirundapus caudacutus,LCS,LC,2,"P,S","3,5"
61,흰배칼새,Tachymarptis melba,IOS,LC,0,,V2
62,칼새,Apus pacificus,NAB,LC,1,"P,S","2,3"
63,쇠칼새,Apus nipalensis,IOS,LC,0,,V1
64,느시,Otis tarda,LAT,VU,0,W,V2
65,작은뻐꾸기사촌,Centropus bengalensis,IOS,LC,0,,V2
66,밤색날개뻐꾸기,Clamator coromandus,IOS,LC,1,,V1
67,검은뻐꾸기,Eudynamys scolopaceus,IOS,LC,0,,V1
68,우는뻐꾸기,Cacomantis merulinus,IOS,LC,0,,V2
69,검은두견이,Surniculus lugubris,IOS,LC,0,,V2
70,큰매사촌,Hierococcyx sparverioides,IOS,LC,0,,V1
71,매사촌,Hierococcyx hyperythrus,BDS,LC,1,"S,P","3,4"
72,두견이,Cuculus poliocephalus,BDS,LC,1,S,3
73,검은등뻐꾸기,Cuculus micropterus,LCS,LC,1,S,3
74,벙어리뻐꾸기,Cuculus optatus,NAB,LC,1,"S,P","2,3"
75,뻐꾸기,Cuculus canorus,HDR,LC,1,"P,S","2,3"
76,낭비둘기,Columba rupestris,TNS,LC,1,"R,W","5,5"
77,분홍가슴비둘기,Columba oenas,IOS,LC,0,W,V2
78,흑비둘기,Columba janthina,PCS,NT,1,"R,S","4,5"
79,멧비둘기,Streptopelia orientalis,DES,LC,1,"R,P","1,3"
80,염주비둘기,Streptopelia decaocto,NRO,LC,0,,V1
81,홍비둘기,Streptopelia tranquebarica,IOS,LC,0,,V1
82,목점박이비둘기,Spilopelia chinensis,IOS,LC,0,,V2
83,녹색비둘기,Treron sieboldii,IOS,LC,0,,V1
84,회색가슴뜸부기,Rallus aquaticus,IOS,LC,0,W,V2
85,흰눈썹뜸부기,Rallus indicus,DES,LC,0,W,5
86,쇠물닭,Gallinula chloropus,LCS,LC,1,"S,R","3,4"
87,물닭,Fulica atra,NAB,LC,1,"W,R","2,4"
88,알락뜸부기,Coturnicops exquisitus,IOS,VU,0,,V2
89,쇠뜸부기사촌,Porzana fusca,PNS,LC,1,S,5
90,한국뜸부기,Porzana paykullii,IOS,NT,2,,V1
91,쇠뜸부기,Porzana pusilla,NBM,LC,0,"P,S","5,V2"
92,뜸부기,Gallicrex cinerea,BDS,LC,1,S,5
93,흰배뜸부기,Amaurornis phoenicurus,RRO,LC,1,"P,S","5,V2"
94,시베리아흰두루미,Leucogeranus leucogeranus  ,IOS,CR,0,W,V1
95,캐나다두루미,Antigone canadensis,RRO,LC,0,"W,S","5,V2"
96,재두루미,Antigone vipio,GCS,VU,0,"P,W,S","3,3,V2"
97,쇠재두루미,Grus virgo,IOS,LC,0,,V2
98,두루미,Grus japonensis,GCS,VU,0,"W,S","3,V2"
99,검은목두루미,Grus grus,RRO,LC,0,W,5
100,흑두루미,Grus monacha,GCS,VU,0,"P,W","2,3"
101,논병아리,Tachybaptus ruficollis,LCS,LC,1,"R,S","3,4"
102,큰논병아리,Podiceps grisegena,PNS,LC,0,W,4
103,뿔논병아리,Podiceps cristatus,NAB,LC,1,"W,R","2,4"
104,귀뿔논병아리,Podiceps auritus,GCS,VU,0,"W,S","5,V2"
105,검은목논병아리,Podiceps nigricollis,NBS,LC,0,W,3
106,큰홍학,Phoenicopterus roseus,IOS,LC,0,,V2
107,세가락메추라기,Turnix tanki,NRO,LC,2,,V1
109,장다리물떼새,Himantopus himantopus,LCS,LC,1,"P,S,W","4,5,V2"
110,딋부리장다리물떼새,Recurvirostra avosetta,RRO,LC,1,"W,S","5,V2"
111,댕기물떼새,Vanellus vanellus,PCS,NT,0,W,4
112,민댕기물떼새,Vanellus cinereus,IOS,LC,0,,V1
113,검은가슴물떼새,Pluvialis fulva,DES,LC,0,P,4
114,개꿩,Pluvialis squatarola,NBM,LC,0,"P,W,S","3,3,4"
115,흰죽지꼬마물떼새,Charadrius hiaticula,IOS,LC,0,,V1
116,흰목물떼새,Charadrius placidus,PNS,LC,1,"R,P","3,5"
117,꼬마물떼새,Charadrius dubius,LCS,LC,1,"P,S,W","3,3,V2"
118,흰물떼새,Charadrius alexandrinus,NBS,LC,1,"P,S,W","2,4,4"
120,몽골왕눈물떼새,Charadrius mongolus,NBM,LC,0,"P,W","3,V1"
121,큰왕눈물떼새,Charadrius leschenaultii,LCS,LC,0,"P,S","5,V2"
122,큰물떼새,Charadrius veredus,LCS,LC,0,P,5
123,흰눈썹물떼새,Charadrius morinellus,IOS,LC,0,,V2
124,호사도요,Rostratula benghalensis,PNS,LC,1,"S,W","5,V1"
125,물꿩,Hydrophasianus chirurgus,RRO,LC,1,S,5
126,중부리도요,Numenius phaeopus,DES,LC,0,"P,W","3,V2"
127,쇠부리도요,Numenius minutus,LCS,LC,0,P,5
128,알락꼬리마도요,Numenius madagascariensis,GCS,EN,0,"P,S,W","3,4,V1"
129,마도요,Numenius arquata,PCS,NT,0,"P,W,S","3,3,4"
130,큰뒷부리도요,Limosa lapponica,PCS,NT,0,"P,S,W","2,5,V2"
131,흑꼬리도요,Limosa limosa,NBS,NT,0,"P,S,W","3,V1,V2"
132,꼬까도요,Arenaria interpres,NBS,LC,0,"P,W","4,V2"
133,붉은어깨도요,Calidris tenuirostris,GCS,EN,0,"P,S","2,5"
134,붉은가슴도요,Calidris canutus,PCS,NT,0,P,3
135,목도리도요,Calidris pugnax,LCS,LC,0,"P,W","5,V2"
136,송곳부리도요,Calidris falcinellus,DES,LC,0,P,3
137,메추라기도요,Calidris acuminata,GCS,VU,0,P,4
138,붉은갯도요,Calidris ferruginea,PCS,NT,0,P,5
139,흰꼬리좀도요,Calidris temminckii,HDR,LC,0,P,5
140,종달도요,Calidris subminuta,DES,LC,0,P,4
141,넓적부리도요,Calidris pygmaea,GCS,CR,0,P,5
142,좀도요,Calidris ruficollis,PCS,NT,0,"P,W","3,V2"
143,세가락도요,Calidris alba,NBM,LC,0,"P,W","4,4"
144,민물도요,Calidris alpina,NBM,LC,0,"P,W,S","1,2,V1"
145,작은도요,Calidris minuta,IOS,LC,0,,V1
146,누른도요,Calidris subruficollis,IOS,NT,0,,V2
147,아메리카메추라기도요,Calidris melanotos,IOS,LC,0,,V1
148,큰부리도요,Limnodromus semipalmatus,IOS,NT,0,,V1
149,긴부리도요,Limnodromus scolopaceus,IOS,LC,0,,V1
150,멧도요,Scolopax rusticola,DES,LC,0,"P,W,S","4,4,V2"
151,꼬마도요,Lymnocryptes minimus,IOS,LC,0,,V2
152,청도요,Gallinago solitaria,NRO,LC,0,,V1
153,큰꺅도요,Gallinago hardwickii,PCS,NT,0,P,5
154,바늘꼬리도요,Gallinago stenura,DES,LC,0,"P,W","3,V2"
155,꺅도요사촌,Gallinago megala,DES,LC,0,P,4
156,꺅도요,Gallinago gallinago,NBM,LC,0,"P,W","4,5"
157,뒷부리도요,Xenus cinereus,NAB,LC,0,"P,S","2,4"
158,지느러미발도요,Phalaropus lobatus,DES,LC,0,P,3
159,붉은배지느러미발도요,Phalaropus fulicarius,IOR,LC,0,,V1
160,깝작도요,Actitis hypoleucos,LCS,LC,1,"S,P,W","3,4,5"
161,삑삑도요,Tringa ochropus,LCS,LC,0,"P,W","3,4"
162,노랑발도요,Tringa brevipes,PCS,NT,0,"P,S","3,V2"
163,붉은발도요,Tringa totanus,PNS,LC,1,"P,S,W","4,5,V2"
164,쇠청다리도요,Tringa stagnatilis,LCS,LC,0,"P,S","4,V2"
165,알락도요,Tringa glareola,DES,LC,0,"P,S","3,V2"
166,학도요,Tringa erythropus,NBS,LC,0,"P,W","5,V1"
167,청다리도요,Tringa nebularia,DES,LC,0,"P,W,S","3,5,V1"
168,청다리도요사촌,Tringa guttifer,GCS,EN,0,"P,S","5,V2"
169,제비물떼새,Glareola maldivarum,RRO,LC,1,"P,S","5,V2"
170,세가락갈매기,Rissa tridactyla,GCS,VU,0,"P,W","2,3"
171,긴목갈매기,Chroicocephalus genei,IOS,LC,0,,V2
172,붉은부리갈매기,Chroicocephalus ridibundus,LCS,LC,0,"P,W,S","2,2,5"
173,검은머리갈매기,Chroicocephalus saundersi,GCS,VU,1,"W,P,S","3,3,3"
174,고대갈매기,Ichthyaetus relictus,NRO,VU,0,W,V1
175,큰검은머리갈매기,Ichthyaetus ichthyaetus,IOS,LC,0,,V1
176,괭이갈매기,Larus crassirostris,NAB,LC,1,"S,W","1,2"
177,갈매기,Larus canus,LCS,LC,0,W,2
178,수리갈매기,Larus glaucescens,LCS,LC,0,W,5
179,흰갈매기,Larus hyperboreus,LCS,LC,0,"W,S","4,V2"
180,작은흰갈매기,Larus glaucoides,IOS,LC,0,W,V1
181,옅은재갈매기,Larus smithsonianus,IOS,LC,0,W,V1
182,재갈매기,Larus vegae,NAB,NR,0,"W,P,S","2,2,5"
184,카스피해갈매기,Larus cachinnans,IOS,LC,0,W,V1
185,큰재갈매기,Larus schistisagus,NAB,LC,0,"W,S","3,V1"
186,검은등갈매기,Larus fuscus,NAB,LC,0,"P,W,S","3,4,V2"
187,흰제비갈매기,Gygis alba,IOS,LC,0,,V2
188,큰부리제비갈매기,Gelochelidon nilotica,IOS,LC,0,,V1
189,붉은부리큰제비갈매기,Hydroprogne caspia,IOS,LC,0,,V1
190,큰제비갈매기,Thalasseus bergii,IOS,LC,0,,V2
191,뿔제비갈매기,Thalasseus bernsteini,IOS,CR,1,S,V1
192,쇠제비갈매기,Sternula albifrons,PNS,LC,1,"S,W","3,V2"
193,알류샨제비갈매기,Onychoprion aleuticus,GCS,VU,0,P,5
194,에위니아제비갈매기,Onychoprion anaethetus,IOS,LC,0,,V2
195,검은등제비갈매기,Onychoprion fuscatus,IOS,LC,0,,V1
196,긴꼬리제비갈매기,Sterna dougallii,IOS,LC,0,,V2
197,제비갈매기,Sterna hirundo,DES,LC,0,"P,S,W","2,V1,V2"
198,북극제비갈매기*,Sterna paradisaea,IOS,LC,0,,V2
199,구레나룻제비갈매기,Chlidonias hybrida,NAB,LC,0,"P,W","4,V1"
200,흰죽지제비갈매기,Chlidonias leucopterus,NAB,LC,0,P,4
201,검은제비갈매기,Chlidonias niger,IOS,LC,0,,V2
202,남극도둑갈매기*,Stercorarius maccormicki,IOR,LC,0,S,5
203,넓적꼬리도둑갈매기,Stercorarius pomarinus,DES,LC,0,"P,W","4,V2"
204,북극도둑갈매기,Stercorarius parasiticus,LCS,LC,0,P,5
205,긴꼬리도둑갈매기,Stercorarius longicaudus,IOS,LC,0,,V1
206,큰부리바다오리,Uria lomvia,DES,LC,0,W,5
207,바다오리,Uria aalge,DES,LC,0,W,5
208,흰눈썹바다오리,Cepphus carbo,DES,LC,0,W,5
209,알락쇠오리,Brachyramphus perdix,PCS,NT,0,"W,S","5,V2"
210,바다쇠오리,Synthliboramphus antiquus,NBS,LC,1,"W,S","2,4"
211,뿔쇠오리,Synthliboramphus wumizusume,GCS,VU,1,"S,R","4,5"
212,작은바다오리,Aethia pusilla,IOS,LC,0,W,V1
213,콧수염바다오리,Aethia cristatella,IOS,LC,0,W,V2
214,흰수염바다오리,Cerorhinca monocerata,LCS,LC,0,W,3
215,댕기바다오리,Fratercula cirrhata,IOS,LC,0,,V2
216,아비,Gavia stellata,HDR,LC,0,"P,W","3,4"
217,큰회색머리아비,Gavia arctica,DES,LC,0,"W,S","3,V1"
218,회색머리아비,Gavia pacifica,LCS,LC,0,"P,W,S","3,3,V2"
219,흰부리아비,Gavia adamsii,PCS,NT,0,"W,S","5,V2"
220,레이산알바트로스,Phoebastria immutabilis,IOS,NT,0,,V2
221,바다제비,Oceanodroma monorhis,PCS,NT,1,S,1
222,흰배슴새,Pterodroma hypoleuca,IOS,LC,0,,V2
223,슴새,Calonectris leucomelas,PCS,NT,1,S,2
224,쇠부리슴새,Ardenna tenuirostris,LCS,LC,0,"P,W","4,V2"
225,붉은발슴새,Ardenna carneipes,PCS,NT,0,P,5
226,검은슴새,Bulweria bulwerii,IOS,LC,0,,V2
227,먹황새,Ciconia nigra,TNS,LC,3,,V1
228,황새,Ciconia boyciana,GCS,EN,1,"W,S,R","5,V2"
229,큰군함조,Fregata minor,IOS,LC,0,,V2
230,군함조,Fregata ariel,IOS,LC,0,,V1
231,푸른얼굴얼가니새,Sula dactylatra,IOS,LC,0,,V2
232,붉은발얼가니새,Sula sula,IOS,LC,0,,V2
233,갈색얼가니새,Sula leucogaster,IOS,LC,0,,V1
234,쇠가마우지,Urile pelagicus,NAB,LC,1,"W,R","3,4"
235,가마우지,Phalacrocorax capillatus,DES,LC,1,"R,W","4,4"
236,민물가마우지,Phalacrocorax carbo,NAB,LC,1,"S,R","1,2"
237,검은머리흰따오기,Threskiornis melanocephalus,IOS,NT,0,,V2
238,적갈색따오기,Plegadis falcinellus,IOS,LC,0,,V2
239,노랑부리저어새,Platalea leucorodia,PNS,LC,2,"W,S","4,V1"
240,저어새,Platalea minor,GCS,EN,1,"S,R","3,5"
241,알락해오라기,Botaurus stellaris,PNS,LC,0,"W,P,S","5,5,V2"
242,덤불해오라기,Ixobrychus sinensis,DES,LC,1,S,4
243,큰덤불해오라기,Ixobrychus eurhythmus,BDS,LC,1,S,5
244,열대덤불해오라기,Ixobrychus cinnamomeus,IOS,LC,2,P,V1
245,검은해오라기,Ixobrychus flavicollis,IOS,LC,0,P,V1
246,붉은해오라기,Gorsachius goisagi,GCS,VU,1,"S,P","5,V1"
247,푸른눈테해오라기,Gorsachius melanolophus,IOS,LC,0,,V2
248,해오라기,Nycticorax nycticorax,DES,LC,1,"S,R","3,5"
249,댕기해오라기,Butorides striata,DES,LC,1,"S,W","3,V2"
250,흰날개해오라기,Ardeola bacchus,LCS,LC,1,"P,S,W","4,5,V1"
251,황로,Bubulcus coromandus,LCS,NR,1,S,3
252,왜가리,Ardea cinerea,HDR,LC,1,"S,R","2,3"
253,붉은왜가리,Ardea purpurea,NBM,LC,0,"P,S","5,V2"
254,중대백로,Ardea alba,HDR,LC,1,"S,P,W","2,3,3"
255,중백로,Ardea intermedia,LCS,LC,1,S,3
256,쇠백로,Egretta garzetta,NAB,LC,1,"S,W","3,4"
257,흑로,Egretta sacra,LCS,LC,1,R,4
258,노랑부리백로,Egretta eulophotes,GCS,VU,1,"S,W","4,V2"
259,물수리,Pandion haliaetus,PNS,LC,1,"P,W,R","4,5,5"
260,검은어깨매,Elanus caeruleus,IOS,LC,1,,V1
261,수염수리,Gypaetus barbatus,IOS,NT,0,,V2
262,벌매,Pernis ptilorhynchus,PNS,LC,1,"P,S","3,5"
263,검은뿔작은매,Aviceda leuphotes,IOS,LC,0,,V2
264,고산대머리수리,Gyps himalayensis,IOS,NT,0,,V2
265,독수리,Aegypius monachus,PCS,NT,0,"W,S","3,V2"
266,관수리,Spilornis cheela,IOS,LC,0,,V2
267,작은발땅꾼수리,Circaetus gallicus,IOS,LC,0,,V2
268,항라머리검독수리,Clanga clanga,GCS,VU,0,"P,W,S","5,V1,V2"
269,흰점어깨수리,Hieraaetus pennatus,IOS,LC,0,,V2
270,초원수리,Aquila nipalensis,IOS,EN,0,,V1
271,흰죽지수리,Aquila heliaca,IOS,VU,0,,V1
272,검독수리,Aquila chrysaetos,TNS,LC,3,"W,S","5,V2"
273,흰배줄무늬수리,Aquila fasciata,IOS,LC,0,,V2
274,붉은배새매,Accipiter soloensis,NBS,LC,1,"P,S","3,4"
275,조롱이,Accipiter gularis,PNS,LC,1,"P,R","3,4"
277,새매,Accipiter nisus,LCS,LC,2,"P,W,S","3,3,V2"
