번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
369,흰머리직박구리,Hypsipetes leucocephalus,IOS,LC,0,,V2
370,검은이마직박구리,Pycnonotus sinensis,RRO,LC,1,"R,S","3,4"
371,갈색제비,Riparia riparia,LCS,LC,0,P,3
372,옅은갈색제비,Riparia diluta,IOS,LC,0,P,V2
373,바위산제비,Ptyonoprogne rupestris,IOS,LC,0,P,V2
374,제비,Hirundo rustica,HDS,LC,1,"P,S,W","1,2,V1"
375,흰턱제비,Delichon lagopodum,RRO,LC,0,P,5
376,흰털발제비,Delichon dasypus,DES,LC,1,"P,S,W","5,V2,V2"
377,귀제비,Cecropis daurica,LCS,LC,1,"P,S","2,3"
378,섬휘파람새,Horornis diphone,LCS,LC,1,"R,W","2,4"
379,휘파람새,Horornis canturians,LCS,LC,1,"P,S,W","3,3,V2"
380,숲새,Urosphena squameiceps,NAB,LC,1,"P,S","2,3"
381,오목눈이,Aegithalos caudatus,BDM,LC,1,R,1
382,검은턱오목눈이,Aegithalos glaucogularis,IOS,LC,0,,V2
383,노랑턱솔새,Phylloscopus sibilatrix,IOS,LC,0,,V2
384,연노랑눈썹솔새,Phylloscopus humei,RRO,LC,0,P,5
385,노랑눈썹솔새,Phylloscopus inornatus,NAB,LC,0,"P,W","1,V1"
386,연노랑허리솔새,Phylloscopus yunnanensis,IOS,LC,0,,V2
387,노랑허리솔새,Phylloscopus proregulus,LCS,LC,1,"P,S,W","3,4,V1"
388,쇠긴다리솔새사촌,Phylloscopus armandii,IOS,LC,0,P,V1
389,긴다리솔새사촌,Phylloscopus schwarzi,LCS,LC,1,"P,S","4,5"
390,노랑배솔새사촌,Phylloscopus affinis,IOS,LC,0,P,V1
391,솔새사촌,Phylloscopus fuscatus,NAB,LC,1,"P,S,W","3,4,4"
392,담황턱솔새,Phylloscopus subaffinis,IOS,LC,0,,V2
393,연노랑솔새,Phylloscopus trochilus,IOS,LC,0,P,V2
394,검은다리솔새,Phylloscopus collybita,IOS,LC,0,,V1
395,산솔새,Phylloscopus coronatus,NBM,LC,1,"S,P","2,3"
396,회색머리노랑솔새,Phylloscopus tephrocephalus,IOS,LC,0,,V2
397,햇노랑솔새,Phylloscopus omeiensis,IOS,LC,0,,V2
398,버들솔새,Phylloscopus plumbeitarsus,LCS,LC,1,"P,S","4,5"
399,사할린되솔새,Phylloscopus borealoides,RRO,LC,0,P,5
400,되솔새,Phylloscopus tenellipes,NBM,LC,1,"P,S","3,3"
401,일본솔새*,Phylloscopus xanthodryas,IOS,LC,0,,V1
402,솔새*,Phylloscopus examinandus,LCS,LC,0,P,4
403,쇠솔새*,Phylloscopus borealis,DES,LC,0,P,3
404,노랑배솔새,Phylloscopus ricketti,IOS,LC,0,,V2
405,북방동고비솔새,Phylloscopus claudiae,IOS,LC,0,P,V2
406,개개비,Acrocephalus orientalis,NAB,LC,1,"S,P","1,3"
407,쇠개개비,Acrocephalus bistrigiceps,LCS,LC,1,"P,S","3,V1"
408,풀쇠개개비,Acrocephalus schoenobaenus,IOS,LC,0,,V2
409,우수리개개비,Acrocephalus tangorum,IOS,VU,0,P,V2
410,북방쇠개개비,Acrocephalus agricola,IOS,LC,0,,V2
411,덤불개개비,Acrocephalus dumetorum,IOS,LC,0,,V2
412,큰부리개개비,Arundinax aedon,LCS,LC,0,P,4
413,쇠덤불개개비,Iduna caligata,IOS,LC,0,,V2
414,붉은허리개개비,Helopsaltes fasciolatus,DES,LC,0,P,4
415,큰개개비,Helopsaltes pryeri,IOS,NT,0,P,V2
416,북방개개비,Helopsaltes certhiola,LCS,LC,0,"P,W","3,V2"
417,섬개개비,Helopsaltes pleskei,GCS,VU,1,S,3
418,알락꼬리쥐발귀,Helopsaltes ochotensis,DES,LC,0,P,4
419,쥐발귀개개비,Locustella lanceolata,DES,LC,0,P,3
420,점무늬가슴쥐발귀,Locustella davidi,IOR,LC,0,,V1
